2026-03-19 23:32:42,962 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 5, 'total_symbols': 12, 'current_symbol': 'HYPEUSDT'}
2026-03-19 23:32:43,062 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 6, 'total_symbols': 12, 'current_symbol': 'DOGEUSDT'}
2026-03-19 23:32:43,165 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 7, 'total_symbols': 12, 'current_symbol': 'PAXGUSDT'}
2026-03-19 23:32:43,270 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 8, 'total_symbols': 12, 'current_symbol': 'ZECUSDT'}
2026-03-19 23:32:43,373 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 9, 'total_symbols': 12, 'current_symbol': 'SIRENUSDT'}
2026-03-19 23:32:43,464 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 10, 'total_symbols': 12, 'current_symbol': 'LYNUSDT'}
2026-03-19 23:32:43,595 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 11, 'total_symbols': 12, 'current_symbol': 'RIVERUSDT'}
2026-03-19 23:32:43,695 | INFO | binance_quant.orchestration.research_loop | Research progress stage=ingesting_market_data details={'completed_symbols': 12, 'total_symbols': 12, 'current_symbol': 'BNBUSDT'}
2026-03-19 23:32:43,695 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_started details={'template_count': 5}
2026-03-20 00:11:46,321 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 1, 'total_templates': 5, 'family': 'trend_ema', 'family_variant_count': 81, 'survivors_so_far': 5}
2026-03-20 00:15:37,504 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 2, 'total_templates': 5, 'family': 'trend_pullback', 'family_variant_count': 8, 'survivors_so_far': 5}
2026-03-20 00:28:39,473 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 3, 'total_templates': 5, 'family': 'breakout', 'family_variant_count': 27, 'survivors_so_far': 5}
2026-03-20 00:32:31,501 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 4, 'total_templates': 5, 'family': 'vol_squeeze', 'family_variant_count': 8, 'survivors_so_far': 5}
