symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket
LYNUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-08 05:00:00+00:00,2025-12-08 05:15:00+00:00,long,-0.017684189293411957,-0.01688418929341196,stop,1,0.19923234209079455,0,False,True,False,0.025321472652269746,0.00701911921624769,0,2,0.006299678968507941,0.06276,0.06321,0.062,0.0623,4839796.0,2025-12-08 05:14:59.999000+00:00,303528.77599,3343,2922348.0,183389.00611,-0.007356502071424318,0.007411021514241036,0.03262932206026777,1.2122256467399353,0.3801652892561935,0.3719008264462851,0.24793388429752147,0.019422150882825083,59.96161710453973,0.000258139433217799,0.014032801055735419,0.011815516395123495,0.004954494665029285,0.002006001319688311,0.05239031819271615,0.7915269709788375,0.0007425018419791922,4.427253413009593,7.294441070037122,-1.0,0.06,-0.0073295092415550656,0.9659258262890683,0.25881904510252074,0,0.0
TAOUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-08 21:15:00+00:00,2025-12-09 00:45:00+00:00,long,-0.013131675952539798,-0.012331675952539797,stop,14,0.23496262584879246,0,False,True,False,0.018305095582791957,0.010803948488676083,0,3,-0.003181837842098141,295.74,297.04,295.53,296.89,2660.887,2025-12-08 21:29:59.999000+00:00,788523.71927,6868,1494.881,442872.36814,0.003881009882942424,0.009135882721301083,0.019454410790903178,2.5906930879977295,0.7615894039734707,0.09933774834439031,0.1390728476821389,0.005086058809660304,61.74813129243962,0.7942519037255519,0.010795763905342082,0.010121557659800379,0.002833115530669783,0.0011232469406909917,0.026466490605999322,1.062502577159146,2.3658437900882725,-0.6195891268354579,0.4273258219614363,-1.0,0.01,0.0,-0.7071067811865477,0.7071067811865474,0,2.0
BTCUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-08 22:00:00+00:00,2025-12-08 22:45:00+00:00,long,-0.007046533109971417,-0.006246533109971417,stop,3,0.14049057348015268,0,False,True,False,0.006538589014219002,0.0006706484650050833,0,2,3.166662035388561e-05,91258.1,91333.0,90878.4,90940.7,801.008,2025-12-08 22:14:59.999000+00:00,72967425.2355,22891,304.235,27716130.4499,-0.0034852056887311384,0.002547758053063336,0.007439024103968895,1.0567319117122373,0.6981962164540357,0.16476022877253238,0.13704355477343183,0.004998861895718923,57.024528674007634,144.62115644069488,0.003599334522424584,0.0024676522590528134,0.0018665603167555833,0.0007035650003326399,0.019137595384040043,0.6339992113839118,385.41044060901976,-0.8430147614184613,0.3354397567101939,-1.0,0.47,-0.003479139408842147,-0.5000000000000004,0.8660254037844384,0,2.0
ZECUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 06:15:00+00:00,2025-12-09 12:15:00+00:00,long,0.03834615328554636,0.03914615328554636,target,24,0.12979418733781187,1,True,False,False,0.017240805734784963,0.04802616598488024,0,3,0.01091955156145142,410.1,411.85,407.64,408.92,30816.547,2025-12-09 06:29:59.999000+00:00,12620620.89122,34662,14326.682,5869595.08111,-0.0028814945092002393,0.033217055487023195,0.0048537834610565935,3.162763296168541,0.2802850356294529,0.4156769596199489,0.3040380047505982,0.010295412305585533,56.489709366890594,1.5283249170569397,0.013067199224849923,0.013657482006433031,0.004809469227345042,0.0014580442049931808,0.05615105153838861,0.6310737004398531,6.264462628408137,-0.7129292918001118,0.6543708572085543,1.0,0.71,-0.0028773469885393643,1.0,6.123233995736766e-17,1,0.0
TAOUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 07:45:00+00:00,2025-12-09 07:45:00+00:00,long,0.01531011914675789,0.01611011914675789,target,0,0.5559327297409857,1,True,False,False,0.0022136863540307664,0.026373755921453003,0,3,-0.00324831924065789,295.54,303.38,294.93,302.09,19891.481,2025-12-09 07:59:59.999000+00:00,5970869.57075,28295,11511.097,3455031.38399,0.021954631687078507,0.032294508169476974,0.04053376656166484,5.12011318177853,0.7751479289940785,0.15266272189349375,0.07218934911242775,0.027971796484491343,77.79663648704928,1.3762473134721862,0.03356583281406159,0.033565930696545315,0.0067711337508549185,0.002546231809360311,0.04809790571891675,1.6702209875749914,2.3722766935491784,4.891130954701378,5.319280549871576,1.0,0.77,0.0,0.9659258262890683,-0.25881904510252063,1,0.0
PAXGUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 09:30:00+00:00,2025-12-09 12:00:00+00:00,long,-0.002479491683756609,-0.001679491683756609,stop,10,0.29564786816516286,0,False,True,False,0.0017689640731312483,0.00035328518399844935,0,5,-0.0004360244664827613,4211.88,4214.0,4206.36,4208.66,230.713,2025-12-09 09:44:59.999000+00:00,971192.11467,1651,67.632,284716.38,-0.0007624223547673241,0.003024532890649915,0.004424480412586826,3.1636928972129894,0.42146596858640273,0.2774869109947382,0.30104712041885906,0.0018153046337790004,64.78239340825814,2.693361134918531,0.002740183226505842,0.002701533486345699,0.0010470491002065874,0.00038832063104488057,0.007460684876378035,0.9696891472685027,4.925400979654314,0.4789924873114366,1.4000283185840707,-1.0,0.78,-0.0007621317846941977,0.7071067811865476,-0.7071067811865475,1,1.0
ETHUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 12:30:00+00:00,2025-12-09 13:30:00+00:00,long,-0.0060237471750858845,-0.005223747175085884,stop,4,0.3077689660583016,0,False,True,False,0.0072705654478230925,0.0030764889945584517,0,4,-0.004121847747723494,3129.89,3133.73,3125.76,3133.03,26639.563,2025-12-09 12:44:59.999000+00:00,83373059.94404,51888,15111.861,47296648.91774,0.001005922251994238,0.008117684660935058,0.003984909968088002,4.520571720200011,0.3939774153074537,0.08782936010035579,0.5181932245921905,0.0025438632888927968,65.38844830291508,2.544522213434015,0.005895588493052036,0.005920958016499696,0.0013448778487852309,0.00046193534052973995,0.011538684532449576,1.0558787523740136,10.692080219817752,0.21250385582026327,1.1173432556235101,1.0,0.16,0.0,1.2246467991473532e-16,-1.0,1,1.0
BTCUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 12:30:00+00:00,2025-12-09 13:30:00+00:00,long,-0.004291324131854787,-0.0034913241318547863,stop,4,0.26130874672794363,0,False,True,False,0.004120091101509815,0.0032523457805030773,0,3,-0.0016215251082895162,90512.8,90608.9,90450.0,90587.3,777.807,2025-12-09 12:44:59.999000+00:00,70434342.7512,21093,397.173,35967660.2584,0.0008238542707838082,0.003914379845693728,0.0011078326439271848,3.8002168319565808,0.4688483322844728,0.13593455003141636,0.39521711768411083,0.0017541090196969572,63.06543733639718,35.34561906900569,0.0032426822806567134,0.0031534927942807284,0.0007097707036267664,0.00024689892935647606,0.006946597324722413,0.8719847000923987,207.00428647773114,-0.23573773281326554,0.8163470146786507,-1.0,0.01,0.0,1.2246467991473532e-16,-1.0,1,1.0
XRPUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 12:30:00+00:00,2025-12-09 13:30:00+00:00,long,-0.005783971451540831,-0.004983971451540831,stop,4,0.4997124215605658,0,False,True,False,0.008270635606120243,0.0018681742144674705,0,4,-0.0039484048172598,2.0808,2.085,2.0789,2.084,4479380.9,2025-12-09 12:44:59.999000+00:00,9326242.84928,18516,2394280.6,4985340.16409,0.0015847483327214539,0.01119486696322321,0.010321800991288866,6.095383334657175,0.5245901639344418,0.16393442622949028,0.311475409836068,0.002927063339731283,74.98562107802829,0.0032290751697286887,0.010032704548384527,0.010062135689583218,0.0025889796782574415,0.0010598092967044614,0.016453918052510685,1.3445451140917644,0.0068566021007602125,0.9819469253229116,1.5276699434903405,1.0,0.27,0.0,1.2246467991473532e-16,-1.0,1,1.0
DOGEUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 13:15:00+00:00,2025-12-09 14:30:00+00:00,long,-0.0058694241491634835,-0.005069424149163483,stop,5,0.383313983430663,0,False,True,False,0.005809639415193191,0.007207582981989283,0,4,-0.001659031892446343,0.14133,0.14224,0.14131,0.14214,43782333.0,2025-12-09 13:29:59.999000+00:00,6210772.12833,13106,24351919.0,3454271.72107,0.00571490601868942,0.005785664907804467,0.013029500290333678,2.6109529041219575,0.8709677419354463,0.10752688172044647,0.0215053763441072,0.006542845082313313,69.16569917153315,0.0002085798823548319,0.009048119408970254,0.008527907404709562,0.0020469273781960062,0.000994684103993393,0.017562696636262167,1.226024213244672,0.0005100190188267107,1.2648516157335947,1.5592794786092856,-1.0,0.19,0.0,-0.2588190451025208,-0.9659258262890683,1,1.0
